	"SGP Central Facility Annual Average Temperature
(DQRs and Failing QC Excluded)"	"SGP Central Facility Annual Average Temperature
(DQRs and Failing QC Excluded)"
1/1/93		
1/1/94	14.27	57.686
1/1/95	14.23	57.614
1/1/96	13.88	56.984
1/1/97	13.85	56.93
1/1/98	15.66	60.188
1/1/99	14.99	58.982
1/1/00	14.73	58.5176
1/1/01	14.72	58.4906
1/1/02	14.83	58.6886
1/1/03	14.80	58.6454
1/1/04	14.82	58.6796
1/1/05	15.26	59.468
1/1/06	16.36	61.448
1/1/07	14.75	58.55
1/1/08	13.90	57.02
1/1/09	13.85	56.93
1/1/10	14.36	57.848
1/1/11	15.07	59.126
1/1/12	16.36	61.448
1/1/13	13.38	56.084
1/1/14	13.79	56.822
1/1/15	15.02	59.036
1/1/16	15.41	59.738
1/1/17	14.84	58.712
1/1/18	15.20	59.36
1/1/19	14.84	58.712
1/1/20	15.42	59.756
1/1/21	15.62	60.1142
